"","scientific_name","plant_tag_id","sample_id","sample_remarks","total_leaf_dry_mass_g","dried_leaf_sample_remarks","SLA","leaf_mass_per_area_g_m2","LDMC","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","rehydrated_leaf_sample_remarks","LA","leaf_fresh_mass_g","number_leaves","site","month"
"11","Salix richardsonii","KP17SR2","105250450","",0.281,NA,15.5345195729537,64.3727664253642,283.838383838384,31.8955732122588,0.0137450746815724,0.99,NA,43.652,0.881,9,"Kluane","June"
"12","Salix pulchra","KP16SP59","105250566","",0.323,NA,12.7693498452012,78.3125227300279,346.195069667738,37.7777777777778,0.012898533155534,0.933,NA,41.245,0.855,14,"Kluane","June"
"13","Salix richardsonii","H17SR35","105272478","",0.182,NA,15.9115384615385,62.8474740149867,259.62910128388,29.3548387096774,0.0151248316585517,0.701,NA,28.959,0.62,10,"Qikiqtaruk","June"
"14","Salix arctica","K15PSA2","105272603","",0.391,NA,10.6186700767263,94.1737517762952,345.406360424028,37.3447946513849,0.0157999951829283,1.132,NA,41.519,1.047,8,"Kluane","June"
"15","Salix arctica","H17SA20","105272707","",0.287,NA,12.4101045296167,80.5794985540613,314.004376367615,34.7037484885127,0.0151612993795098,0.914,NA,35.617,0.827,12,"Qikiqtaruk","June"
"16","Salix arctica","H15SA12","105272799","",0.315,NA,10.7295238095238,93.2007811113084,316.901408450704,35.15625,0.0171903662938635,0.994,NA,33.798,0.896,8,"Qikiqtaruk","June"
"17","Salix arctica","PC17SA1","105341831","",0.348,NA,10.941091954023,91.3985554826001,315.78947368421,34.5238095238095,0.0173342087984242,1.102,NA,38.075,1.008,8,"Kluane","June"
"18","Salix pulchra","PC17SP1","105341963","",0.128,NA,13.4171875,74.5312681961104,355.555555555556,37.8698224852071,0.0122277861884244,0.36,NA,17.174,0.338,10,"Kluane","June"
"19","Salix arctica","HE16SA3","105342070","",0.235,NA,13.9540425531915,71.6638204440107,292.652552926526,32.016348773842,0.015217126128324,0.803,NA,32.792,0.734,7,"Qikiqtaruk","June"
"20","Salix richardsonii","H17SR13","105342196","",0.179,NA,13.0256983240223,76.77131583462,305.460750853242,33.8374291115312,0.0150111511408475,0.586,NA,23.316,0.529,10,"Qikiqtaruk","June"
"21","Salix pulchra","HERSP24","105342324","",0.127,NA,15.1874015748032,65.8440481128162,361.823361823362,38.719512195122,0.0104209871422646,0.351,NA,19.288,0.328,14,"Qikiqtaruk","June"
"22","Salix richardsonii","HEFSR4","105342479","",0.188,NA,14.5462765957447,68.7461147475043,278.518518518518,30.42071197411,0.015723845394376,0.675,NA,27.347,0.618,12,"Qikiqtaruk","June"
"23","Salix pulchra","H15SP15","105342584","",0.107,NA,14.9859813084112,66.7290302463361,357.859531772575,37.9432624113475,0.0109136264421578,0.299,NA,16.035,0.282,14,"Qikiqtaruk","June"
"24","Salix pulchra","PC16CWSP7","105590773","",0.283,NA,11.817667844523,84.6190647051788,369.934640522876,39.5804195804196,0.0129171151776103,0.765,NA,33.444,0.715,12,"Kluane","June"
"25","Salix pulchra","HESP20","105590881","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,12,"Qikiqtaruk","June"
"26","Salix pulchra","HESP20","105590881","",0.068,NA,14.3147058823529,69.8582288884323,404.761904761905,42.5,0.00945140743784672,0.168,NA,9.734,0.16,12,"Qikiqtaruk","June"
"27","Salix richardsonii","KP16SR58","105591571","",0.407,NA,13.02457002457,76.7779664214299,289.0625,31.796875,0.0164685908319185,1.408,NA,53.01,1.28,9,"Kluane","June"
"28","Salix pulchra","HERSP29","105591665","",0.129,NA,15.8852713178295,62.9513956666016,293.181818181818,31.6176470588235,0.0136150692953348,0.44,NA,20.492,0.408,12,"Qikiqtaruk","June"
"29","Salix arctica","KP17SA2","105591787","",0.216,NA,14.2972222222222,69.9436564989314,300,32.6283987915408,0.0144420698141312,0.72,NA,30.882,0.662,7,"Kluane","June"
"30","Salix arctica","H17SA18","105591888","",0.312,NA,11.7733974358974,84.9372498843002,317.395727365209,34.5132743362832,0.0161162986959954,0.983,NA,36.733,0.904,7,"Qikiqtaruk","June"
"31","Salix arctica","HE16SA7","105592027","",0.175,NA,12.9571428571429,77.1775082690187,292.642140468227,31.1942959001782,0.0170231532524807,0.598,NA,22.675,0.561,6,"Qikiqtaruk","June"
"32","Salix richardsonii","HESR8","105591310","",0.152,NA,16.7546052631579,59.6850826559862,283.054003724395,30.7070707070707,0.0134684100993442,0.537,NA,25.467,0.495,12,"Qikiqtaruk","June"
"33","Salix pulchra","HERSP3","105591213","",0.143,NA,16.2853146853147,61.4050154586053,320.627802690583,34.1288782816229,0.0118515973892133,0.446,NA,23.288,0.419,12,"Qikiqtaruk","June"
"34","Salix arctica","H15SA10","105592169","",0.293,NA,12.6006825938567,79.3607800650054,308.746048472076,33.2576617480136,0.0159263271939328,0.949,NA,36.92,0.881,12,"Qikiqtaruk","June"
"35","Salix pulchra","KLSPC13","105590986","",0.328,NA,11.3603658536585,88.0253341205518,374.857142857143,39.7575757575758,0.0133379850786324,0.875,NA,37.262,0.825,12,"Kluane","June"
"36","Salix pulchra","HESP12","105591081","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655,12,"Qikiqtaruk","June"
"37","Salix pulchra","HESP12","105591081","",0.243,NA,14.9399176954733,66.9347730277655,345.661450924609,37.0992366412214,0.0113486117232261,0.703,NA,36.304,0.655,12,"Qikiqtaruk","June"
"38","Salix richardsonii","KLSRE4","105773750","",0.523,NA,13.8621414913958,72.1389260541525,328.930817610063,35.8956760466712,0.012882936316363,1.59,NA,72.499,1.457,12,"Kluane","June"
"39","Salix pulchra","KLSPE6","105773675","",0.47,NA,12.3095744680851,81.2375767003716,360.429447852761,38.5245901639344,0.0129634430904848,1.304,NA,57.855,1.22,12,"Kluane","June"
"40","Salix pulchra","HERSP24","107171204","",0.09,NA,15.1377777777778,66.0598943041691,360,36.734693877551,0.0113769817968291,0.25,NA,13.624,0.245,12,"Qikiqtaruk","July"
"41","Salix richardsonii","KP17SR2","107171239","",0.333,NA,14.4582582582583,69.164624267852,298.922800718133,30.1357466063348,0.0160345615419765,1.114,NA,48.146,1.105,12,"Kluane","July"
"42","Salix richardsonii","HEFSR4","107171266","",0.17,NA,13.7864705882353,72.5348807441226,283.806343906511,29.3609671848014,0.0174510389554977,0.599,NA,23.437,0.579,8,"Qikiqtaruk","July"
"43","Salix arctica","KP17SA2","107171287","",0.312,NA,13.5677564102564,73.7041534180301,316.109422492401,32.2981366459627,0.0154495244664717,0.987,NA,42.3314,0.966,12,"Kluane","July"
"44","Salix arctica","HE16SA3","107171355","",0.223,NA,14.6493273542601,68.2625198971471,288.113695090439,28.8860103626943,0.0168054365127954,0.774,NA,32.668,0.772,9,"Qikiqtaruk","July"
"45","Salix pulchra","PC16CWSP7","107251328","",0.385,NA,10.0732467532468,99.2728585426229,389.676113360324,40.7407407407408,0.0144396885152906,0.988,NA,38.782,0.945,10,"Kluane","July"
"46","Salix pulchra","PC17SP1","107251407","",0.147,NA,11.3843537414966,87.8398565879892,383.812010443864,40.7202216066482,0.0127875709590678,0.383,NA,16.735,0.361,9,"Kluane","July"
"47","Salix richardsonii","H17SR13","107251456","",0.225,NA,12.3773333333333,80.7928471399332,301.204819277108,32.8467153284672,0.0165176487486086,0.747,NA,27.849,0.685,11,"Qikiqtaruk","July"
"48","Salix richardsonii","H17SR9","107251509","Leaves senescent ",0.243,NA,13.5407407407407,73.8512035010941,314.766839378238,34.7142857142857,0.0138888888888889,0.772,NA,32.904,0.7,12,"Qikiqtaruk","July"
"49","Salix richardsonii","HESR8","107251563","",0.184,NA,14.3358695652174,69.7550989460914,298.217179902755,31.2393887945671,0.0153537038441125,0.617,NA,26.378,0.589,9,"Qikiqtaruk","July"
"50","Salix richardsonii","KLSRE10","107251609","",0.484,NA,13.0863636363636,76.4154220215353,339.410939691445,35.8253145817913,0.0136884650604692,1.426,NA,63.338,1.351,12,"Kluane","July"
"51","Salix pulchra","HESP12","107251655","Leaves starting to senesce ",0.151,NA,14.7615894039735,67.7433826828174,356.973995271868,37.1007371007371,0.0114849708389412,0.423,NA,22.29,0.407,12,"Qikiqtaruk","July"
"52","Salix pulchra","KP16SP59","107251839","",0.242,NA,11.445867768595,87.3677750099282,384.737678855326,39.8026315789474,0.0132134734105924,0.629,NA,27.699,0.608,12,"Kluane","July"
"53","Salix richardsonii","KLSRE11","107251889","",0.54,NA,12.9875925925926,76.9965636718806,323.159784560144,33.9836375078666,0.0149572954244079,1.671,NA,70.133,1.589,9,"Kluane","July"
"54","Salix richardsonii","KLSRE14","107251936","",0.374,NA,11.7355614973262,85.2110911120731,327.209098862642,34.3434343434343,0.0162903556537787,1.143,NA,43.891,1.089,8,"Kluane","July"
"55","Salix arctica","HE16SA7","107251975","",0.179,NA,12.3899441340782,80.710614122103,288.709677419355,32.368896925859,0.0168635584813779,0.62,NA,22.178,0.553,6,"Qikiqtaruk","July"
"56","Salix arctica","KP17SA6","107252021","",0.288,NA,12.1708333333333,82.1636425881547,350.36496350365,36.734693877551,0.0141504051124044,0.822,NA,35.052,0.784,7,"Kluane","July"
"57","Salix richardsonii","KLSRC13","107252077","",1.074,NA,12.0776536312849,82.7975392016282,311.575282854656,32.7439024390244,0.0170066453890868,3.447,NA,129.714,3.28,12,"Kluane","July"
"58","Salix richardsonii","KP16SR58","107252154","",0.524,NA,11.9950381679389,83.367804753874,299.257567104512,32.2461538461538,0.0175167849301556,1.751,NA,62.854,1.625,12,"Kluane","July"
"59","Salix richardsonii","H17SR35","107252211","",0.235,NA,14.3859574468085,69.512231194723,280.764635603345,30.8398950131234,0.0155884875913272,0.837,NA,33.807,0.762,12,"Qikiqtaruk","July"
"60","Salix arctica","H17SA20","107342550","",0.2,NA,12.4505,80.3180595156821,323.101777059774,34.1296928327645,0.0155013854865266,0.619,NA,24.901,0.586,9,"Qikiqtaruk","July"
"61","Salix arctica","H17SA18","107342611","",0.464,NA,11.8997844827586,84.0351353798786,318.681318681319,33.992673992674,0.0163180295209635,1.456,NA,55.215,1.365,11,"Qikiqtaruk","July"
"62","Salix arctica","K15PSA9","107342651","",0.538,NA,10.5907063197026,94.4224086489522,354.413702239789,37.2576177285319,0.0159008740215522,1.518,NA,56.978,1.444,8,"Kluane","July"
"63","Salix arctica","K15PSA7","107342682","",0.613,NA,10.3047308319739,97.0428064842958,386.750788643533,39.8569570871261,0.0146434903748734,1.585,NA,63.168,1.538,8,"Kluane","July"
"64","Salix arctica","K15PSA2","107342714","",0.437,NA,9.32974828375286,107.184027862942,372.866894197952,38.1993006993007,0.0173407569105492,1.172,NA,40.771,1.144,9,"Kluane","July"
"65","Salix arctica","H15SA10","107342774","",0.278,NA,11.8665467625899,84.2705144138956,312.359550561798,31.2359550561798,0.0185516384249295,0.89,NA,32.989,0.89,10,"Qikiqtaruk","July"
"66","Salix pulchra","KP16SP33","107342805","",0.256,NA,11.65,85.8369098712446,413.570274636511,42.6666666666667,0.0115343347639485,0.619,NA,29.824,0.6,12,"Kluane","July"
"67","Salix pulchra","KLSPC13","107342839","",0.244,NA,10.8282786885246,92.3507815752621,408.710217755444,42.5828970331588,0.012452216040271,0.597,NA,26.421,0.573,12,"Kluane","July"
"68","Salix pulchra","HERSP29","107342873","A fe rust spots on the plant ",0.113,NA,16.0008849557522,62.4965433327803,288.265306122449,30.0531914893617,0.0145456556606382,0.392,NA,18.081,0.376,10,"Qikiqtaruk","July"
"69","Salix richardsonii","H17SR5","107402037","",0.213,NA,13.3666666666667,74.8129675810474,297.071129707113,31.4159292035398,0.0163324084155808,0.717,NA,28.471,0.678,8,"Qikiqtaruk","July"
"70","Salix pulchra","KLSPE4","109129335","",0.25,NA,9.6288,103.855101362579,445.632798573975,45.045045045045,0.0126703223662346,0.561,NA,24.072,0.555,12,"Kluane","August"
"71","Salix pulchra","HERSP24","109129306","",0.073,NA,17.6232876712329,56.7431014380101,380.208333333333,41.2429378531073,0.00808394869801788,0.192,NA,12.865,0.177,12,"Qikiqtaruk","August"
"72","Salix pulchra","HERSP3","109129271","",0.108,NA,19.087037037037,52.3915785388571,341.772151898734,44.4444444444444,0.00654894731735714,0.316,NA,20.614,0.243,12,"Qikiqtaruk","August"
"73","Salix richardsonii","KP17SR2","109129235","",0.327,NA,13.6981651376147,73.0024780657692,315.942028985507,33.7809917355372,0.0143102716942379,1.035,NA,44.793,0.968,12,"Kluane","August"
"74","Salix richardsonii","H17SR5","109129200","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683,8,"Qikiqtaruk","August"
"75","Salix richardsonii","HEFSR4","109129166","",0.131,NA,17.3946564885496,57.4889191205512,278.131634819533,29.9771167048055,0.0134287093518234,0.471,NA,22.787,0.437,8,"Qikiqtaruk","August"
"76","Salix pulchra","PC16CWSP7","109129127","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676,12,"Kluane","August"
"77","Salix pulchra","PC17SP1","109129092","",0.171,NA,11.2912280701754,88.5643256681168,394.919168591224,40.3301886792453,0.0131033768386161,0.433,NA,19.308,0.424,12,"Kluane","August"
"78","Salix richardsonii","H17SR9","109129052","",0.213,NA,15.3464788732394,65.1615271659324,310.495626822157,31.981981981982,0.0138582966226138,0.686,NA,32.688,0.666,12,"Qikiqtaruk","August"
"79","Salix richardsonii","H17SR13","109129008","",0.241,NA,12.8576763485477,77.7745506180011,292.47572815534,29.6432964329643,0.0184593539226127,0.824,NA,30.987,0.813,12,"Qikiqtaruk","August"
"80","Salix richardsonii","H17SR13","109129008","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813,12,"Qikiqtaruk","August"
"81","Salix pulchra","HESP12","109128968","",0.149,NA,17.644966442953,56.6733863299228,313.025210084034,32.0430107526882,0.0120193222015138,0.476,NA,26.291,0.465,12,"Qikiqtaruk","August"
"82","Salix pulchra","KP16SP59","109128902","",0.236,NA,11.4923728813559,87.0142319887914,374.009508716323,37.5198728139905,0.0144900818523708,0.631,NA,27.122,0.629,12,"Kluane","August"
"83","Salix richardsonii","KLSRC13","109139804","",1.262,NA,11.3217908082409,88.3252496833029,325.509414495744,32.8389279208951,0.0180639833147864,3.877,NA,142.881,3.843,12,"Kluane","August"
"84","Salix richardsonii","KLSRE14","109140148","",0.503,NA,12.5528827037773,79.6629765128839,331.357048748353,33.421926910299,0.0158692450230437,1.518,NA,63.141,1.505,12,"Kluane","August"
"85","Salix richardsonii","KLSRE10","109154187","",0.486,NA,12.7578189300412,78.3833040336758,325.301204819277,33.7734537873523,0.0153702240214183,1.494,NA,62.003,1.439,12,"Kluane","August"
"86","Salix richardsonii","KLSRE11","109154517","",0.724,NA,13.4685082872928,74.2472721306096,308.873720136519,32.1777777777778,0.0156493559767003,2.344,NA,97.512,2.25,12,"Kluane","August"
"87","Salix pulchra","HERSP12","109154480","Rehydrated mass slightly lower. Leaves senescent ",0.111,NA,17.1261261261261,58.3903208837454,376.271186440678,49.3333333333333,0.00599684376643872,0.295,NA,19.01,0.225,13,"Qikiqtaruk","August"
"88","Salix arctica","PC17SA1","109154431","",0.337,NA,11.4329376854599,87.466583612344,333.994053518335,33.5992023928215,0.0172856809156739,1.009,NA,38.529,1.003,10,"Kluane","August"
"89","Salix arctica","HE16SA3","109154282","",0.131,NA,15.2221374045802,65.6937967002658,272.916666666667,27.7542372881356,0.0171004463166341,0.48,NA,19.941,0.472,6,"Qikiqtaruk","August"
"90","Salix arctica","HE16SA7","109213957","",0.195,NA,14.0779487179487,71.0330759143232,280.172413793104,28.5923753665689,0.017740055369372,0.696,NA,27.452,0.682,12,"Qikiqtaruk","August"
"91","Salix arctica","KP17SA6","109214034","",0.306,NA,12.2352941176471,81.7307692307692,326.574172892209,33.0097087378641,0.0165865384615385,0.937,NA,37.44,0.927,12,"Kluane","August"
"92","Salix arctica","H15SA10","109222848","",0.366,NA,12.3459016393443,80.9985393706015,295.638126009693,32.1899736147757,0.0170628070641349,1.238,NA,45.186,1.137,12,"Qikiqtaruk","August"
"93","Salix arctica","H17SA18","109222916","",0.436,NA,12.6158256880734,79.265521316244,320.35268185158,32.2962962962963,0.016616671211708,1.361,NA,55.005,1.35,12,"Qikiqtaruk","August"
"94","Salix arctica","K15PSA2","109222952","",0.393,NA,10.434096692112,95.8396332244062,353.735373537354,38.0445304937077,0.015607472077257,1.111,NA,41.006,1.033,11,"Kluane","August"
"95","Salix richardsonii","H17SR35","109222984","",0.168,NA,17.8238095238095,56.104728827144,266.666666666667,28.5714285714286,0.014026182206786,0.63,NA,29.944,0.588,9,"Qikiqtaruk","August"
"96","Salix richardsonii","KP16SR58","109223013","",0.676,NA,11.6894970414201,85.5468799433062,299.247454625941,32.0531057373163,0.0181344199643133,2.259,NA,79.021,2.109,12,"Kluane","August"
"97","Salix pulchra","KLSPC13","109223041","",NA,NA,NA,NA,NA,NA,NA,0.658,NA,29.338,0.632,12,"Kluane","August"
"98","Salix arctica","K15PSA7","109232447","",0.846,NA,10.9256501182033,91.5277342017289,365.127319810099,37.5,0.0152546223669548,2.317,NA,92.431,2.256,12,"Kluane","August"
"99","Salix arctica","K15PSA9","109297253","",NA,NA,NA,NA,NA,NA,NA,2.289,NA,86.398,2.196,12,"Kluane","August"
"100","Salix arctica","H17SA20","109297321","",0.382,NA,12.6515706806283,79.0415692441391,301.73775671406,31.1328443357783,0.017484326180968,1.266,NA,48.329,1.227,12,"Qikiqtaruk","August"
"101","Salix arctica","K15PSA12","109297373","",0.469,NA,11.6368869936034,85.9336350477307,339.117859725235,35.6925418569254,0.0154827124979387,1.383,NA,54.577,1.314,8,"Kluane","August"
"102","Salix arctica","H15SA12","109297417","",0.144,NA,11.8729166666667,84.2253026846815,326.530612244898,35.1219512195122,0.0155582850792537,0.441,NA,17.097,0.41,6,"Qikiqtaruk","August"
"103","Salix pulchra","KLSPE6","109297462","",0.4,NA,10.481,95.4107432496899,406.917599186165,41.7101147028154,0.0133336513691442,0.983,NA,41.924,0.959,12,"Kluane","August"
"104","Salix richardsonii","KLSRE4","109297512","",0.805,NA,12.0811180124224,82.7737961810947,363.26714801444,38.3881735813066,0.0132849372255869,2.216,NA,97.253,2.097,12,"Kluane","August"
